27/05/2025 21:58:02: TournamentStats(id='8e0f18fc468b40c9aab74439fe6551d0', tourn_nr=0, configs=['a4a7e88bc7db41488f49b1a968c6f744', '5e1ca6757d874c519fcb7a5ef571c09c', '7774c505b40f480a8274c6f8dfffddf8', '38d008e34de848b9aa0ece4107ce7f2a', '1fe060e83c4e44919508726c43014abd', '994c89b464c14e038fbc2d4e49c94696', 'f293736348344881bce3444c38eefab0', 'b4b46a2962f44d9e85bb0cbdfdf7db0f'], winner='a4a7e88bc7db41488f49b1a968c6f744', results=[1167.4109512384416, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[0.04051117296330631, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], rtac_times=[0.24, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], kills=[], TARuns={'a4a7e88bc7db41488f49b1a968c6f744': TARun(config_id='a4a7e88bc7db41488f49b1a968c6f744', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 3, '-miim': 10}, res=1167.4109512384416, time=0.04051117296330631, status=<TARunStatus.finished: 2>), '5e1ca6757d874c519fcb7a5ef571c09c': TARun(config_id='5e1ca6757d874c519fcb7a5ef571c09c', config={'-ps': 'ps6', '-a': 0.9, '-mni': 49, '-miim': 52}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '7774c505b40f480a8274c6f8dfffddf8': TARun(config_id='7774c505b40f480a8274c6f8dfffddf8', config={'-ps': 'ps2', '-a': 0.9, '-mni': 6, '-miim': 3}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '38d008e34de848b9aa0ece4107ce7f2a': TARun(config_id='38d008e34de848b9aa0ece4107ce7f2a', config={'-ps': 'ps3', '-a': 0.9, '-mni': 77, '-miim': 84}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '1fe060e83c4e44919508726c43014abd': TARun(config_id='1fe060e83c4e44919508726c43014abd', config={'-ps': 'ps6', '-a': 0.9, '-mni': 14, '-miim': 35}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '994c89b464c14e038fbc2d4e49c94696': TARun(config_id='994c89b464c14e038fbc2d4e49c94696', config={'-ps': 'ps6', '-a': 0.9, '-mni': 98, '-miim': 68}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'f293736348344881bce3444c38eefab0': TARun(config_id='f293736348344881bce3444c38eefab0', config={'-ps': 'ps2', '-a': 0.9, '-mni': 14, '-miim': 53}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'b4b46a2962f44d9e85bb0cbdfdf7db0f': TARun(config_id='b4b46a2962f44d9e85bb0cbdfdf7db0f', config={'-ps': 'ps1', '-a': 0.9, '-mni': 75, '-miim': 74}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})

27/05/2025 21:58:06: TournamentStats(id='415a47d5d42a4d3290e91330b9c5709f', tourn_nr=1, configs=['a4a7e88bc7db41488f49b1a968c6f744', 'b4b46a2962f44d9e85bb0cbdfdf7db0f', '3c6d6d17beec45c08da6de41d01d1c8b', 'b4841b2e50934d74ab15e79633ee1a87', 'b1aae64e10c94357a5cfb271ea91ee3a', '914fbee47f7d4b3cad682cfcdd85e59e', 'f293736348344881bce3444c38eefab0', '7e1ef4d6b8674c99a36dce1a3903280b'], winner='b1aae64e10c94357a5cfb271ea91ee3a', results=[1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1738.1161646794915, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[5.0, 5.0, 5.0, 5.0, 0.4693450320046395, 5.0, 5.0, 5.0], rtac_times=[5.0, 5.0, 5.0, 5.0, 0.82, 5.0, 5.0, 5.0], kills=[], TARuns={'a4a7e88bc7db41488f49b1a968c6f744': TARun(config_id='a4a7e88bc7db41488f49b1a968c6f744', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 3, '-miim': 10}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'b4b46a2962f44d9e85bb0cbdfdf7db0f': TARun(config_id='b4b46a2962f44d9e85bb0cbdfdf7db0f', config={'-ps': 'ps1', '-a': 0.9, '-mni': 75, '-miim': 74}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '3c6d6d17beec45c08da6de41d01d1c8b': TARun(config_id='3c6d6d17beec45c08da6de41d01d1c8b', config={'-ps': 'ps4', '-a': 0.9, '-mni': 59, '-miim': 61}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'b4841b2e50934d74ab15e79633ee1a87': TARun(config_id='b4841b2e50934d74ab15e79633ee1a87', config={'-ps': 'ps4', '-a': 0.9, '-mni': 9, '-miim': 69}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'b1aae64e10c94357a5cfb271ea91ee3a': TARun(config_id='b1aae64e10c94357a5cfb271ea91ee3a', config={'-ps': 'ps3', '-a': 0.9, '-mni': 56, '-miim': 15}, res=1738.1161646794915, time=0.4693450320046395, status=<TARunStatus.finished: 2>), '914fbee47f7d4b3cad682cfcdd85e59e': TARun(config_id='914fbee47f7d4b3cad682cfcdd85e59e', config={'-ps': 'ps5', '-a': 0.9, '-mni': 83, '-miim': 24}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'f293736348344881bce3444c38eefab0': TARun(config_id='f293736348344881bce3444c38eefab0', config={'-ps': 'ps2', '-a': 0.9, '-mni': 14, '-miim': 53}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '7e1ef4d6b8674c99a36dce1a3903280b': TARun(config_id='7e1ef4d6b8674c99a36dce1a3903280b', config={'-ps': 'ps3', '-a': 0.9, '-mni': 54, '-miim': 59}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})

27/05/2025 21:58:09: TournamentStats(id='086f6f17b3b14e2590f0d8755ec5695b', tourn_nr=2, configs=['0ca4d761da754721a7c6b1a23a057b21', '587948c349a0450a96a49b4fe1e1ac76', 'ffbd9559b6554c82a06a71bfbe153035', '077be376d0d645af85961ec72069be42', '97133c3a76a0498c82cb1a05d150578f', '96495f59f30649f08ddc673c1fd67693', 'b19b181ca3b242a1bf56c7d2fbe631dd', '260f6e9c6ea84bc5a031bcb4a680accf'], winner='97133c3a76a0498c82cb1a05d150578f', results=[1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 2112.058922028633, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[5.0, 5.0, 5.0, 5.0, 0.21894058492034674, 5.0, 5.0, 5.0], rtac_times=[5.0, 5.0, 5.0, 5.0, 0.49, 5.0, 5.0, 5.0], kills=[], TARuns={'0ca4d761da754721a7c6b1a23a057b21': TARun(config_id='0ca4d761da754721a7c6b1a23a057b21', config={'-ps': 'ps1', '-a': 0.9, '-mni': 40, '-miim': 60}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '587948c349a0450a96a49b4fe1e1ac76': TARun(config_id='587948c349a0450a96a49b4fe1e1ac76', config={'-ps': 'ps1', '-a': 0.9, '-mni': 92, '-miim': 87}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'ffbd9559b6554c82a06a71bfbe153035': TARun(config_id='ffbd9559b6554c82a06a71bfbe153035', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 44, '-miim': 72}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '077be376d0d645af85961ec72069be42': TARun(config_id='077be376d0d645af85961ec72069be42', config={'-ps': 'ps5', '-a': 0.9, '-mni': 36, '-miim': 28}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '97133c3a76a0498c82cb1a05d150578f': TARun(config_id='97133c3a76a0498c82cb1a05d150578f', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 22, '-miim': 10}, res=2112.058922028633, time=0.21894058492034674, status=<TARunStatus.finished: 2>), '96495f59f30649f08ddc673c1fd67693': TARun(config_id='96495f59f30649f08ddc673c1fd67693', config={'-ps': 'ps6', '-a': 0.9, '-mni': 62, '-miim': 3}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'b19b181ca3b242a1bf56c7d2fbe631dd': TARun(config_id='b19b181ca3b242a1bf56c7d2fbe631dd', config={'-ps': 'ps2', '-a': 0.9, '-mni': 81, '-miim': 10}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '260f6e9c6ea84bc5a031bcb4a680accf': TARun(config_id='260f6e9c6ea84bc5a031bcb4a680accf', config={'-ps': 'ps2', '-a': 0.9, '-mni': 92, '-miim': 13}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})

27/05/2025 21:58:10: TournamentStats(id='8faeb9af9e4148ddbc849dcf5e7c5730', tourn_nr=3, configs=['5f982cf2ad31442fb93955ce3c4481b8', '6019f6fd5eb64db8be985026b4b6b6d1', 'c8d2ccb2a4b74e42bca14b797c9d968f', 'ee8c0c45a58c4beebd60653b63dc02a0', '844be9a1b41a420fbb3ffe63254fb41e', 'ec9658a13c374cb3845c0c1de7e5e1d5', '8490b0381451490fb402e0e463a02a02', 'cc3b380ff6c64ee3a6cbca007790f65d'], winner='c8d2ccb2a4b74e42bca14b797c9d968f', results=[1.7976931348623157e+208, 1.7976931348623157e+208, 2589.5147405533135, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[5.0, 5.0, 0.11695549392607063, 5.0, 5.0, 5.0, 5.0, 5.0], rtac_times=[5.0, 5.0, 0.34, 5.0, 5.0, 5.0, 5.0, 5.0], kills=[], TARuns={'5f982cf2ad31442fb93955ce3c4481b8': TARun(config_id='5f982cf2ad31442fb93955ce3c4481b8', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 31, '-miim': 8}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '6019f6fd5eb64db8be985026b4b6b6d1': TARun(config_id='6019f6fd5eb64db8be985026b4b6b6d1', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 33, '-miim': 8}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'c8d2ccb2a4b74e42bca14b797c9d968f': TARun(config_id='c8d2ccb2a4b74e42bca14b797c9d968f', config={'-ps': 'ps6', '-a': 0.9, '-mni': 3, '-miim': 10}, res=2589.5147405533135, time=0.11695549392607063, status=<TARunStatus.finished: 2>), 'ee8c0c45a58c4beebd60653b63dc02a0': TARun(config_id='ee8c0c45a58c4beebd60653b63dc02a0', config={'-ps': 'ps4', '-a': 0.9, '-mni': 7, '-miim': 8}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '844be9a1b41a420fbb3ffe63254fb41e': TARun(config_id='844be9a1b41a420fbb3ffe63254fb41e', config={'-ps': 'ps1', '-a': 0.9, '-mni': 22, '-miim': 8}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'ec9658a13c374cb3845c0c1de7e5e1d5': TARun(config_id='ec9658a13c374cb3845c0c1de7e5e1d5', config={'-ps': 'ps1', '-a': 0.9, '-mni': 20, '-miim': 10}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '8490b0381451490fb402e0e463a02a02': TARun(config_id='8490b0381451490fb402e0e463a02a02', config={'-ps': 'ps4', '-a': 0.9, '-mni': 17, '-miim': 10}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'cc3b380ff6c64ee3a6cbca007790f65d': TARun(config_id='cc3b380ff6c64ee3a6cbca007790f65d', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 99, '-miim': 33}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})

27/05/2025 21:58:12: TournamentStats(id='7bca28b4a88e4e0cb93a6ec8c2e4d49c', tourn_nr=4, configs=['c8d2ccb2a4b74e42bca14b797c9d968f', '5f982cf2ad31442fb93955ce3c4481b8', '6e6c58ac4f0c49ed9edae65b2a05c1ae', '6a43ece1fffb490498ca2b06fe839e01', '48531135667e441a942181487b9577c3', 'd6c330469b024c29a89e031c24c146ce', 'e5b3a5bbbbc04bf18905c75a888bc18d', 'dbc1a77187954784ad026f013f6c8693'], winner='6a43ece1fffb490498ca2b06fe839e01', results=[1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 2491.672737596945, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[5.0, 5.0, 5.0, 0.10087777907028794, 5.0, 5.0, 5.0, 5.0], rtac_times=[5.0, 5.0, 5.0, 0.32, 5.0, 5.0, 5.0, 5.0], kills=[], TARuns={'c8d2ccb2a4b74e42bca14b797c9d968f': TARun(config_id='c8d2ccb2a4b74e42bca14b797c9d968f', config={'-ps': 'ps6', '-a': 0.9, '-mni': 3, '-miim': 10}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '5f982cf2ad31442fb93955ce3c4481b8': TARun(config_id='5f982cf2ad31442fb93955ce3c4481b8', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 31, '-miim': 8}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '6e6c58ac4f0c49ed9edae65b2a05c1ae': TARun(config_id='6e6c58ac4f0c49ed9edae65b2a05c1ae', config={'-ps': 'ps2', '-a': 0.9, '-mni': 7, '-miim': 15}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '6a43ece1fffb490498ca2b06fe839e01': TARun(config_id='6a43ece1fffb490498ca2b06fe839e01', config={'-ps': 'ps4', '-a': 0.9, '-mni': 3, '-miim': 8}, res=2491.672737596945, time=0.10087777907028794, status=<TARunStatus.finished: 2>), '48531135667e441a942181487b9577c3': TARun(config_id='48531135667e441a942181487b9577c3', config={'-ps': 'ps1', '-a': 0.9, '-mni': 3, '-miim': 77}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'd6c330469b024c29a89e031c24c146ce': TARun(config_id='d6c330469b024c29a89e031c24c146ce', config={'-ps': 'ps2', '-a': 0.9, '-mni': 3, '-miim': 72}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'e5b3a5bbbbc04bf18905c75a888bc18d': TARun(config_id='e5b3a5bbbbc04bf18905c75a888bc18d', config={'-ps': 'ps1', '-a': 0.9, '-mni': 3, '-miim': 15}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'dbc1a77187954784ad026f013f6c8693': TARun(config_id='dbc1a77187954784ad026f013f6c8693', config={'-ps': 'ps5', '-a': 0.9, '-mni': 22, '-miim': 10}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})

27/05/2025 21:58:14: TournamentStats(id='9636ee12ef6d4a05be18e44635e1fe79', tourn_nr=5, configs=['6a43ece1fffb490498ca2b06fe839e01', 'c8d2ccb2a4b74e42bca14b797c9d968f', '5f982cf2ad31442fb93955ce3c4481b8', '6e6c58ac4f0c49ed9edae65b2a05c1ae', 'ee8c0c45a58c4beebd60653b63dc02a0', '2380ed7744b4490d967646a70decf66d', '97c363a17f3342c7bc5680f9af6dc9fe', '6019f6fd5eb64db8be985026b4b6b6d1'], winner='c8d2ccb2a4b74e42bca14b797c9d968f', results=[1.7976931348623157e+208, 2943.182426806419, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[5.0, 0.06629496405366808, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], rtac_times=[5.0, 0.27, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], kills=[], TARuns={'6a43ece1fffb490498ca2b06fe839e01': TARun(config_id='6a43ece1fffb490498ca2b06fe839e01', config={'-ps': 'ps4', '-a': 0.9, '-mni': 3, '-miim': 8}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'c8d2ccb2a4b74e42bca14b797c9d968f': TARun(config_id='c8d2ccb2a4b74e42bca14b797c9d968f', config={'-ps': 'ps6', '-a': 0.9, '-mni': 3, '-miim': 10}, res=2943.182426806419, time=0.06629496405366808, status=<TARunStatus.finished: 2>), '5f982cf2ad31442fb93955ce3c4481b8': TARun(config_id='5f982cf2ad31442fb93955ce3c4481b8', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 31, '-miim': 8}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '6e6c58ac4f0c49ed9edae65b2a05c1ae': TARun(config_id='6e6c58ac4f0c49ed9edae65b2a05c1ae', config={'-ps': 'ps2', '-a': 0.9, '-mni': 7, '-miim': 15}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'ee8c0c45a58c4beebd60653b63dc02a0': TARun(config_id='ee8c0c45a58c4beebd60653b63dc02a0', config={'-ps': 'ps4', '-a': 0.9, '-mni': 7, '-miim': 8}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '2380ed7744b4490d967646a70decf66d': TARun(config_id='2380ed7744b4490d967646a70decf66d', config={'-ps': 'ps2', '-a': 0.9, '-mni': 19, '-miim': 3}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '97c363a17f3342c7bc5680f9af6dc9fe': TARun(config_id='97c363a17f3342c7bc5680f9af6dc9fe', config={'-ps': 'ps2', '-a': 0.9, '-mni': 13, '-miim': 15}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '6019f6fd5eb64db8be985026b4b6b6d1': TARun(config_id='6019f6fd5eb64db8be985026b4b6b6d1', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 33, '-miim': 8}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})
