04/04/2024 21:13:04: TournamentStats(id='7a87d6fc62a447938bcf0823134bceb8', tourn_nr=0, configs=['807faa7809a140f58d5437424e5148a4', 'c6ea8ccd03e3445aa182116d269a4b1b', 'c1e61045fc09441491a6dac655ba635e', '8e28750b04f9458dbe13fd2c8871213d', 'ae3ea16d5f7841ad85c5781a2a3b75bf', '261873224cff407fbc74e6a4026362f4', '1f2750d62ce04ba2be9a12e92a5739a4', 'fe336a55997048349f2466f49dbd4c33'], winner='807faa7809a140f58d5437424e5148a4', results=[1167.4109512384416, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[0.08633852796629071, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], rtac_times=[0.29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], kills=[], TARuns={'807faa7809a140f58d5437424e5148a4': TARun(config_id='807faa7809a140f58d5437424e5148a4', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 3, '-miim': 10}, res=1167.4109512384416, time=0.08633852796629071, status=<TARunStatus.finished: 2>), 'c6ea8ccd03e3445aa182116d269a4b1b': TARun(config_id='c6ea8ccd03e3445aa182116d269a4b1b', config={'-ps': 'ps6', '-a': 0.9, '-mni': 85, '-miim': 70}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'c1e61045fc09441491a6dac655ba635e': TARun(config_id='c1e61045fc09441491a6dac655ba635e', config={'-ps': 'ps2', '-a': 0.9, '-mni': 93, '-miim': 18}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '8e28750b04f9458dbe13fd2c8871213d': TARun(config_id='8e28750b04f9458dbe13fd2c8871213d', config={'-ps': 'ps1', '-a': 0.9, '-mni': 90, '-miim': 47}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'ae3ea16d5f7841ad85c5781a2a3b75bf': TARun(config_id='ae3ea16d5f7841ad85c5781a2a3b75bf', config={'-ps': 'ps5', '-a': 0.9, '-mni': 75, '-miim': 17}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '261873224cff407fbc74e6a4026362f4': TARun(config_id='261873224cff407fbc74e6a4026362f4', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 91, '-miim': 63}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '1f2750d62ce04ba2be9a12e92a5739a4': TARun(config_id='1f2750d62ce04ba2be9a12e92a5739a4', config={'-ps': 'ps3', '-a': 0.9, '-mni': 34, '-miim': 41}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'fe336a55997048349f2466f49dbd4c33': TARun(config_id='fe336a55997048349f2466f49dbd4c33', config={'-ps': 'ps4', '-a': 0.9, '-mni': 2, '-miim': 82}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})

04/04/2024 21:13:06: TournamentStats(id='8935e760527642d5879c7207bb443caa', tourn_nr=1, configs=['807faa7809a140f58d5437424e5148a4', 'c6ea8ccd03e3445aa182116d269a4b1b', '92aa3bd81b274c2bb34f99e1d7e18a0b', '0fea4ee9b19d41ea95622c8aeeac9e3f', '2064ced1b6fb42f580ea1b608cb802a8', '2909d3e4b3f7458e994be11ec43e05f7', '79b1090a52ba4e389f8125f3b184ea40', 'bb8074c35e6244bc97df02367766d88b'], winner='92aa3bd81b274c2bb34f99e1d7e18a0b', results=[1.7976931348623157e+208, 1.7976931348623157e+208, 1738.1161646794917, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[5.0, 5.0, 0.36277544777840376, 5.0, 5.0, 5.0, 5.0, 5.0], rtac_times=[0.0, 0.0, 0.66, 0.0, 0.0, 0.0, 0.0, 0.0], kills=[], TARuns={'807faa7809a140f58d5437424e5148a4': TARun(config_id='807faa7809a140f58d5437424e5148a4', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 3, '-miim': 10}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'c6ea8ccd03e3445aa182116d269a4b1b': TARun(config_id='c6ea8ccd03e3445aa182116d269a4b1b', config={'-ps': 'ps6', '-a': 0.9, '-mni': 85, '-miim': 70}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '92aa3bd81b274c2bb34f99e1d7e18a0b': TARun(config_id='92aa3bd81b274c2bb34f99e1d7e18a0b', config={'-ps': 'ps1', '-a': 0.9, '-mni': 7, '-miim': 78}, res=1738.1161646794917, time=0.36277544777840376, status=<TARunStatus.finished: 2>), '0fea4ee9b19d41ea95622c8aeeac9e3f': TARun(config_id='0fea4ee9b19d41ea95622c8aeeac9e3f', config={'-ps': 'ps5', '-a': 0.9, '-mni': 80, '-miim': 96}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '2064ced1b6fb42f580ea1b608cb802a8': TARun(config_id='2064ced1b6fb42f580ea1b608cb802a8', config={'-ps': 'ps6', '-a': 0.9, '-mni': 3, '-miim': 30}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '2909d3e4b3f7458e994be11ec43e05f7': TARun(config_id='2909d3e4b3f7458e994be11ec43e05f7', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 90, '-miim': 23}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '79b1090a52ba4e389f8125f3b184ea40': TARun(config_id='79b1090a52ba4e389f8125f3b184ea40', config={'-ps': 'ps5', '-a': 0.9, '-mni': 98, '-miim': 89}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'bb8074c35e6244bc97df02367766d88b': TARun(config_id='bb8074c35e6244bc97df02367766d88b', config={'-ps': 'ps2', '-a': 0.9, '-mni': 22, '-miim': 73}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})

04/04/2024 21:13:08: TournamentStats(id='3b9cc21378f34b63a0c82caac06f65d9', tourn_nr=2, configs=['92aa3bd81b274c2bb34f99e1d7e18a0b', '807faa7809a140f58d5437424e5148a4', 'd2b720f0c6c04d5d83e6b39c68648467', 'eec43807aaad4383a9bc7370bb70003e', '46258add61434d37b7deead4bf5fd323', 'bb8074c35e6244bc97df02367766d88b', 'c1e61045fc09441491a6dac655ba635e', '54daa1681a0f45a5a3394d432d22930a'], winner='807faa7809a140f58d5437424e5148a4', results=[1.7976931348623157e+208, 2112.058922028633, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[5.0, 0.019572815159335732, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], rtac_times=[0.0, 0.21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], kills=[], TARuns={'92aa3bd81b274c2bb34f99e1d7e18a0b': TARun(config_id='92aa3bd81b274c2bb34f99e1d7e18a0b', config={'-ps': 'ps1', '-a': 0.9, '-mni': 7, '-miim': 78}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '807faa7809a140f58d5437424e5148a4': TARun(config_id='807faa7809a140f58d5437424e5148a4', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 3, '-miim': 10}, res=2112.058922028633, time=0.019572815159335732, status=<TARunStatus.finished: 2>), 'd2b720f0c6c04d5d83e6b39c68648467': TARun(config_id='d2b720f0c6c04d5d83e6b39c68648467', config={'-ps': 'ps3', '-a': 0.9, '-mni': 73, '-miim': 74}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'eec43807aaad4383a9bc7370bb70003e': TARun(config_id='eec43807aaad4383a9bc7370bb70003e', config={'-ps': 'ps2', '-a': 0.9, '-mni': 5, '-miim': 38}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '46258add61434d37b7deead4bf5fd323': TARun(config_id='46258add61434d37b7deead4bf5fd323', config={'-ps': 'ps1', '-a': 0.9, '-mni': 51, '-miim': 43}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'bb8074c35e6244bc97df02367766d88b': TARun(config_id='bb8074c35e6244bc97df02367766d88b', config={'-ps': 'ps2', '-a': 0.9, '-mni': 22, '-miim': 73}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'c1e61045fc09441491a6dac655ba635e': TARun(config_id='c1e61045fc09441491a6dac655ba635e', config={'-ps': 'ps2', '-a': 0.9, '-mni': 93, '-miim': 18}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '54daa1681a0f45a5a3394d432d22930a': TARun(config_id='54daa1681a0f45a5a3394d432d22930a', config={'-ps': 'ps4', '-a': 0.9, '-mni': 60, '-miim': 87}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})

04/04/2024 21:13:10: TournamentStats(id='f12d03ccc6f94636b676cb64af099d41', tourn_nr=3, configs=['92aa3bd81b274c2bb34f99e1d7e18a0b', '807faa7809a140f58d5437424e5148a4', '4ce240f8bd7342cbb31e3cdceab322cf', 'f468f4e27cd143a4a77ab2d6a82f4b66', 'c6ea8ccd03e3445aa182116d269a4b1b', '2064ced1b6fb42f580ea1b608cb802a8', '2df3f9ddee34455785c7931d3e639474', '909d80745e694ca7a7f0101e2c7ebac8'], winner='807faa7809a140f58d5437424e5148a4', results=[1.7976931348623157e+208, 2589.5147405533135, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[5.0, 0.03814846812747419, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], rtac_times=[0.0, 0.26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], kills=[], TARuns={'92aa3bd81b274c2bb34f99e1d7e18a0b': TARun(config_id='92aa3bd81b274c2bb34f99e1d7e18a0b', config={'-ps': 'ps1', '-a': 0.9, '-mni': 7, '-miim': 78}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '807faa7809a140f58d5437424e5148a4': TARun(config_id='807faa7809a140f58d5437424e5148a4', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 3, '-miim': 10}, res=2589.5147405533135, time=0.03814846812747419, status=<TARunStatus.finished: 2>), '4ce240f8bd7342cbb31e3cdceab322cf': TARun(config_id='4ce240f8bd7342cbb31e3cdceab322cf', config={'-ps': 'ps4', '-a': 0.9, '-mni': 62, '-miim': 96}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'f468f4e27cd143a4a77ab2d6a82f4b66': TARun(config_id='f468f4e27cd143a4a77ab2d6a82f4b66', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 34, '-miim': 74}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'c6ea8ccd03e3445aa182116d269a4b1b': TARun(config_id='c6ea8ccd03e3445aa182116d269a4b1b', config={'-ps': 'ps6', '-a': 0.9, '-mni': 85, '-miim': 70}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '2064ced1b6fb42f580ea1b608cb802a8': TARun(config_id='2064ced1b6fb42f580ea1b608cb802a8', config={'-ps': 'ps6', '-a': 0.9, '-mni': 3, '-miim': 30}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '2df3f9ddee34455785c7931d3e639474': TARun(config_id='2df3f9ddee34455785c7931d3e639474', config={'-ps': 'ps4', '-a': 0.9, '-mni': 10, '-miim': 79}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '909d80745e694ca7a7f0101e2c7ebac8': TARun(config_id='909d80745e694ca7a7f0101e2c7ebac8', config={'-ps': 'ps4', '-a': 0.9, '-mni': 61, '-miim': 97}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})

04/04/2024 21:13:13: TournamentStats(id='1b7d1046bbe949a6b50686ac868d56c7', tourn_nr=4, configs=['92aa3bd81b274c2bb34f99e1d7e18a0b', '807faa7809a140f58d5437424e5148a4', 'da920425684c4c15b37a19cf7d2ee8be', '909d80745e694ca7a7f0101e2c7ebac8', '46258add61434d37b7deead4bf5fd323', 'dc5332521dad474692067ade839fd21f', '8e28750b04f9458dbe13fd2c8871213d', 'ddb36fd87f154bf084c0152ba307d9ea'], winner='807faa7809a140f58d5437424e5148a4', results=[1.7976931348623157e+208, 2491.672737596945, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[5.0, 0.07537213410250843, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0], rtac_times=[0.0, 0.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], kills=[], TARuns={'92aa3bd81b274c2bb34f99e1d7e18a0b': TARun(config_id='92aa3bd81b274c2bb34f99e1d7e18a0b', config={'-ps': 'ps1', '-a': 0.9, '-mni': 7, '-miim': 78}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '807faa7809a140f58d5437424e5148a4': TARun(config_id='807faa7809a140f58d5437424e5148a4', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 3, '-miim': 10}, res=2491.672737596945, time=0.07537213410250843, status=<TARunStatus.finished: 2>), 'da920425684c4c15b37a19cf7d2ee8be': TARun(config_id='da920425684c4c15b37a19cf7d2ee8be', config={'-ps': 'ps5', '-a': 0.9, '-mni': 98, '-miim': 69}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '909d80745e694ca7a7f0101e2c7ebac8': TARun(config_id='909d80745e694ca7a7f0101e2c7ebac8', config={'-ps': 'ps4', '-a': 0.9, '-mni': 61, '-miim': 97}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '46258add61434d37b7deead4bf5fd323': TARun(config_id='46258add61434d37b7deead4bf5fd323', config={'-ps': 'ps1', '-a': 0.9, '-mni': 51, '-miim': 43}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'dc5332521dad474692067ade839fd21f': TARun(config_id='dc5332521dad474692067ade839fd21f', config={'-ps': 'ps6', '-a': 0.9, '-mni': 96, '-miim': 30}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '8e28750b04f9458dbe13fd2c8871213d': TARun(config_id='8e28750b04f9458dbe13fd2c8871213d', config={'-ps': 'ps1', '-a': 0.9, '-mni': 90, '-miim': 47}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'ddb36fd87f154bf084c0152ba307d9ea': TARun(config_id='ddb36fd87f154bf084c0152ba307d9ea', config={'-ps': 'ps6', '-a': 0.9, '-mni': 3, '-miim': 10}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})

04/04/2024 21:13:15: TournamentStats(id='f7b37f2e54344373aa3d2ad073b8f105', tourn_nr=5, configs=['807faa7809a140f58d5437424e5148a4', '92aa3bd81b274c2bb34f99e1d7e18a0b', 'c6d3bc5e75c247469d6e9d74011ae693', '4ce240f8bd7342cbb31e3cdceab322cf', 'b2dd4a126e6d4d69a3312d41d1e590aa', 'fe336a55997048349f2466f49dbd4c33', 'eec43807aaad4383a9bc7370bb70003e', '3e058078887349b2aa772b0990e16bb4'], winner='c6d3bc5e75c247469d6e9d74011ae693', results=[1.7976931348623157e+208, 1.7976931348623157e+208, 2943.182426806419, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208, 1.7976931348623157e+208], times=[5.0, 5.0, 0.24936773208901286, 5.0, 5.0, 5.0, 5.0, 5.0], rtac_times=[0.0, 0.0, 0.52, 0.0, 0.0, 0.0, 0.0, 0.0], kills=[], TARuns={'807faa7809a140f58d5437424e5148a4': TARun(config_id='807faa7809a140f58d5437424e5148a4', config={'-ps': 'two_opt', '-a': 0.9, '-mni': 3, '-miim': 10}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '92aa3bd81b274c2bb34f99e1d7e18a0b': TARun(config_id='92aa3bd81b274c2bb34f99e1d7e18a0b', config={'-ps': 'ps1', '-a': 0.9, '-mni': 7, '-miim': 78}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'c6d3bc5e75c247469d6e9d74011ae693': TARun(config_id='c6d3bc5e75c247469d6e9d74011ae693', config={'-ps': 'ps5', '-a': 0.9, '-mni': 26, '-miim': 5}, res=2943.182426806419, time=0.24936773208901286, status=<TARunStatus.finished: 2>), '4ce240f8bd7342cbb31e3cdceab322cf': TARun(config_id='4ce240f8bd7342cbb31e3cdceab322cf', config={'-ps': 'ps4', '-a': 0.9, '-mni': 62, '-miim': 96}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'b2dd4a126e6d4d69a3312d41d1e590aa': TARun(config_id='b2dd4a126e6d4d69a3312d41d1e590aa', config={'-ps': 'ps3', '-a': 0.9, '-mni': 75, '-miim': 99}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'fe336a55997048349f2466f49dbd4c33': TARun(config_id='fe336a55997048349f2466f49dbd4c33', config={'-ps': 'ps4', '-a': 0.9, '-mni': 2, '-miim': 82}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), 'eec43807aaad4383a9bc7370bb70003e': TARun(config_id='eec43807aaad4383a9bc7370bb70003e', config={'-ps': 'ps2', '-a': 0.9, '-mni': 5, '-miim': 38}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>), '3e058078887349b2aa772b0990e16bb4': TARun(config_id='3e058078887349b2aa772b0990e16bb4', config={'-ps': 'ps5', '-a': 0.9, '-mni': 6, '-miim': 78}, res=1.7976931348623157e+208, time=5.0, status=<TARunStatus.capped: 3>)})
